Citation,Parent Statute,Source,Chapter,Document Type,File,url (from File),PDF (from File),Date Last Updated (from File),Date Originally Published (from File),Entity Empowered,Triggering Event,Describe Health Emergency,Location,Military Involvement (Federal),Preliminary Screening,Funding Stream Description,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Funding Stream?,Waiver Authority,Plans & Strategies,State Trigger,Document Description,Note,Powers Invoked
44 C.F.R. § 327,FEMA - Preparedness,eCFR,,Regulation,44 CFR 327,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-327,44 CFR Part 327 (up to date as of 9-10-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/LQspKKPjvx58xTvSbvAenQ/6Dl85HZNkD-lHgGCVn7sOy-dwj3E5i5mXfU9XOGrPWB3Aao2pflG794eK4u87TBa0iZZT3fWhOtgSKmlyEsFyjXoh6_y_vkDdCiGSxylkiX5BJg77ALd2EQiQ2zh6rBx-g_2oc9dJW-LD-y0NOLeJ1VQqI2bK5ORYnN6cGYZ8wdS9JU7Tl8rWe-ri5jjJL5p/WB07M9aUIR-ITZDHfleB5bXQbn6qF5qa6oSzAEfbhvQ),1/3/17,7/1/80,"Federal Emergency Management Agency,Department of Defense",No triggering event - Capacity Building,Part of emergency preparedness efforts,Domestic,No,Include,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,No,,Not applicable,Policy on Use of Government-Owned Industrial Plant Equipment by Private Industry - Outlines when private industry may be relied upon for the production of emergency preparedness supplies,,"Provision of Supplies,Military Readiness"
Executive Order 12148,,Executive Order,,Executive Order,Executive Order 12148,https://irp.fas.org/agency/dhs/fema/eo12148.pdf,eo12148.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/CnGUwgmeGjOPA11Xx0fBJg/3pzWAzyNpMrE-srXhMBJNI63MEu_2QzJQDwZX6WxNZemldR1R4nrtREcfdY2Hp8UmDzZo2tWtIV_LI9lJsi3tReL5KcpHrmTm8rfrbWs5CgAmjXwadDW9W8m305MrXrAL6YJlvWESdkApymWWeRYG22AffsJiahNDcI76oZqHwI/oB-vpSnoGCF21ar-vIPBiwzPxbbBWztW13C4N-bjuv8),,7/20/79,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Commerce,General Services Administration",No triggering event - Capacity Building,N/A,,,,,,,,,,,,,
",Domestic,No,Include,,,,,,,No,This EO was created consolidate disaster response under a single entity within the executive agencies. This entity", the Federal Emergency Management Agency (FEMA) was created to improve efficiency and coordination between offices tasked with responding to emergency incidents. Functions previously housed under the Department of Defense, Department of Housing and Urban Development and various other agencies were pulled into FEMA, which was broadly tasked with federal emergency preparedness, mitigation," response and recovery efforts. """,,Mission Assignment/Response Coordination,,,,,,,,,,,,,,,,,,
U.S.C. 4002 et seq.,Flood Disaster Protection Act of 1973,FEMA DOLR,5,Legislation,Flood Disaster Protection Act of 1973,https://www.govinfo.gov/content/pkg/COMPS-1039/pdf/COMPS-1039.pdf,COMPS-1039.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/xYcwgvTyMW__HgrGk0hdDA/bWmxYECnE7fiZRyftoe2WKbNJ7Ryg7-qKmQ2gV5Rbg2QpcE5PX-6OiZVSMy5pQyjtoVkFtgXzfJaGyycYcgZTCJbb2TGG1XPSPcWxRZzx8PULAidxQfhK-Bd6_ziUDAViWckGzeLbssiaO8DNvU4Ag/nDRbPECZjdW-ESXRz652n3k_H7muZUjIy25VLzzGF-0),3/21/14,12/31/73,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Treasury - Office of the Comptroller of the Currency,Federal Deposit Insurance Corporation,Farm Credit Administration,Federal Reserve Board,National Credit Union Administration",No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,This act strengthened the National Flood Insurance Program. It was passed to address the increasing costs for flood disasters. It made flood insurance mandatory in properties located in Special Flood Hazard Areas and required communities to adopt floodplain management ordinances. ,,Strategies and General Preparedness Efforts
"Executive Order 11,988, Floodplain Management",,FEMA DOLR,5,Executive Order,"""Executive Order 11,988, Floodplain Management""",https://www.fema.gov/pdf/plan/ehp/final_e.pdf,final_e.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/M7WAJAOhAzDvxDmSjv5YlQ/wwIyf_oTytwI4FmyBoAUaUUHm0Xlv8JseazsyJory4oIvCADVbvRUlac1bvrTVkCWN3lM3-hfnr1-a8ReKICB8VNT2JVHNmOxO1nodvJ9ZDrT810Tl6mwNEqkC0ViOIKqLWOh-hY3yd1oh4xdLbPdA/ZfVFOWYlR0qjTs3wDuzsUt_eque25V_GriUsVprA_Io),,5/27/94,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Agriculture,Department of Transportation,Environmental Protection Agency",No triggering event - Capacity Building,"This directive is meant to be used to coordinate and implement: ""the actions taken to plan, organize, equip, train, and exercise to build and sustain the capabilities necessary to prevent, protect against, mitigate the effects of, respond to, and recover from those threats that pose the greatest risk to the security of the Nation.""",Domestic,Yes - Subject to Posse Comitatus,Include,,,,,,,No,"This order requires federal agencies to minimize flood impacts on human welfare. They must evaluate effects of actions in floodplains, consider flood hazards, and provide a public review of plans. ",,Strategies and General Preparedness Efforts
"Executive Order 12,699, Seismic Safety of Federal and Federally Assisted or Regulated New Building Construction",,FEMA DOLR,5,Executive Order,"""Executive Order 12,699, Seismic Safety of Federal and Federally Assisted or Regulated New Building Construction""",https://www.wbdg.org/FFC/FED/EO/eo12699.pdf,eo12699.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/9knKt4JkPHExTGTsVXf--w/BhGvXTCSKg8JIIU-Qtj_L42EKUIETaDC-J5xsdDOrmn82nVJ91O_pRDsOXfdfBANONBvyAk9TS04lUDb_NPBL6_AKCNchArTw27UMx_COkLBgXZYclBjNnkUMZEV8XnrGtuh-_OTFUJY326_0iGkeQ/MvlW7gL--ig7R35CUi85VF2okkwwRM-WYmKtR_8Vq5w),,1/5/90,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Transportation,General Services Administration",No triggering event - Capacity Building,N/A,,,,,,,,,,,,,
",Domestic,No,Exclude,,,,,,,No,This order establishes requirements for earthquake safety in federal buildings. The Interagency Committee on Seismic Safety in Construction is responsible for recommending seismic construction standards for federal agencies to adopt. ,,Health and Safety Regulations","Strategies and General Preparedness Efforts""",,,,,,,,,,,,,,,,,,,,,,,,
42 U.S.C. § 1531(b)-(d),Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States",No triggering event - Capacity Building,No emergency required; part of disaster preparedness,Domestic,Yes - Subject to Posse Comitatus,Include,"$250,000 grant to states to develop ""plans, programs, and capabilities for disaster preparedness and prevention"" to states.",,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,Provides for technical assistance and grants to states to develop and maintain comprehensive preparation plans and programs for disaster preparedness; harm reduction; and recovery.,,"Financial Assistance to states or Tribal Nations,State plan requirement"
42 U.S.C. § 5204-5204b,Stafford Act,Stafford Act U.S.C.,,Legislation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States",Presidential Major Disaster Declaration,"""the declaration by the President of a disaster in an insular area""",Domestic,Yes - Subject to Posse Comitatus,Include,,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",No,No,,Yes,President must provide certain disaster and technical assistance via FEMA to insular areas ,,"Mission Assignment/Response Coordination,Appropriations - Emergency Response,Financial Assistance to states or Tribal Nations,Federal-State Coordination"
"42 U.S.C. §§ 7701, et seq",National Earthquake Hazards Reduction Program,FEMA DOLR,5,Legislation,Earthquake Hazards Reduction Act of 1977,https://www.govinfo.gov/content/pkg/COMPS-1843/pdf/COMPS-1843.pdf,COMPS-1843.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/myAScxapGIPxLv9keMBxmQ/QyXtuTnrmYpySdG4muw2y0GsCf0mLGcZBAbUvvNFkxanfroSaMHO6nP-yr6681M8anDg_-ODdda-jLxCxLZYwf-Negy9T1vrpFybnSF-_gBjm_rf916jcwhHfEeoduu69bV4JuMk8LRN5UZBqvDsGXqbKpBdcd_yuwyc0dXJmzs/tuan3EBIx4yFA5aVugZ0CxWEe64Dfu3exOK7_yzlsyI),12/27/22,10/7/77,"Federal Emergency Management Agency,National Earthquake Hazards Reduction Program,Department of the Interior - U.S. Geological Survey,National Science Foundation",No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,"This program aims to reduce earthquake risks in the US. It develops practices for earthquake loss reduction, improves techniques for reducing vulnerabilities, and enhances risk assessments. ",,"Strategies and General Preparedness Efforts,Research and Development"
42 U.S.C. § 7701-7706,Earthquake Hazards Reduction Act,FEMA DOLR,4,Legislation,Earthquake Hazards Reduction Act,https://drive.google.com/file/d/1zGh4zbjF7aaHT-o-EQQUEM7p7VHLCP3M/view,COMPS-1843.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/dXw3c3U1_XkkcGEjpk99Dw/zbwtJi79N74y6OhaTuvDuZov6i9cW43DSn4AGrxyie2p_P_oGVGdeMgddEXNmYu1tJtkt3Omb6A-OcPF59pRfHYwtsIo91YNmgAV09XtKTg4SqOBolcAxagyNsjrx7a_OHHi4F5jsYdiVEI0q1c1zYvA_iPjAjt0ThPROe5qaz0/BmejMBh0I3YxVOHAF_XSExiqtnbhI_rTePXEGCXZmhA),12/27/22,10/7/77,"Federal Emergency Management Agency,Department of the Interior - U.S. Geological Survey,National Science Foundation,Department of Commerce - National Oceanic and Atmospheric Administration",Natural Disaster,N/A,Domestic,No,Exclude,,,,,,,No,"This act aims to reduce the risk associated with earthquakes in the US, and mobilizes the USGS, FEMA, and NSA to establish mitigation efforts.",,Strategies and General Preparedness Efforts
15 U.S.C. § 2201-2229,Fire Prevention and Control Act,FEMA DOLR,4,Legislation,Fire Prevention and Control Act,https://www.govinfo.gov/content/pkg/COMPS-1847/pdf/COMPS-1847.pdf,COMPS-1847.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/SFIw6fUmw_3UR9TbrJSvyw/J6CcAmEK2gByv9AMPfuf3mjJuUBbUHoSPYPARemS5-WbFTXh0e2LcXEvrRKsv9LwJIT3HvFmfPpjq6-jCE1Q1Nh1EWbezro7px3ZwfvAMkgGmjazIzaAbdwp40IdtgeK8prADzFcglPStej7_85nxhn9VsZVY8XLP6KjKYzrhps/vJvW61zBpGJqOnHVMnPlJ056RO8LhmrQMjgj_yRKDyc),12/27/22,10/29/74,"Federal Emergency Management Agency,Department of Labor - Occupational Safety and Health Administration,Environmental Protection Agency",Natural Disaster,N/A,Domestic,No,Exclude,,,,,,,No,"The US Forest Service, EPA, and local fire departments are main stakeholders in this act that focuses on wildfire prevention and response, including managing fire-prone areas.",,Strategies and General Preparedness Efforts
44 C.F.R. § 323 - Appendix 1,Stafford Act,eCFR,,Regulation,44 CFR 323 appendix,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-323/appendix-Appendix%201%20to%20Part%20323,Appendix 1 to Part 323_ Title 44 (up to date as of 8-23-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/9jbmTCoKm_tLDet6s45fkQ/6Mr_NkK4xz7wGEIWiry4llZi7CnO5iLRFM5SlykySHQEKtcyhXCwN3yDnVeO50e4RL9sn9G-1wXhViO_poUwU310rVWR6tukDbhwZpAfhpCV6GtkxTQ7m4WcqNzDtxieA6OAnq7hSq7x6zCBk1W7kHCCe0Xmc1ojnBrICh5-jDO0-k6ewwa8MET2a2_Ksqxz0C1US-S96qpXEmIwHuIaog/7mireRQK1H8gjaWUj0ABT5k92rNchUji5VshGp8alB0),1/3/17,7/1/80,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency",No triggering event - Capacity Building,Requires proactive steps in case of a health emergency caused by a nuclear attack,Domestic,Unclear,Include,,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",No,No,,Not applicable,List of Essential Survival Items in case of a nuclear attack - major attention should be given to insure the basic essentials in case of such an attack ,,"Health and Safety Regulations,Provision of Supplies"
13 C.F.R. 302.1–302.20,Stafford Act,Parallel Table U.S.C.,,Regulation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,Federal Emergency Management Agency,Receipt of federal funding,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Include,Provides rules surrounding federal assistance and grants in disaster relief programs,* § 302.2: Procedures in Disaster Areas,,,,,,,,
§ 302.6: Additional requirements: Federal policies and procedures,,,,,,,,,,,,,,,,,,,,,,,,,
§ 302.12: Project administration, operation," and maintenance""","Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c",Yes,No,,Yes,General Terms & Conditions for Investment Assistance,,Financial Assistance to states or Tribal Nations,,,,,,,,,,,,,,,
46 U.S.C. § 7507,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Homeland Security - Coast Guard,"Natural Disaster,Act of War,Presidential Emergency Declarations",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,The Coast Guard Secretary can extend licenses or certificates of registry for up to a year during a national emergency or natural disaster.,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,",,,,,,,,,,,,,,,,,,,,,,,,,
46 U.S.C. § 8301,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Department of Homeland Security - Coast Guard,"Natural Disaster,Act of War,Terrorism,Presidential Emergency Declarations",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,The Coast Guard Secretary can suspend the rules on the number of licensed individuals required on inspected vessels during a national emergency declared by the President.,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,",,,,,,,,,,,,,,,,,,,,,,,,,
46 U.S.C. § 55101 - 55121,Jones Act,FEMA DOLR,4,Legislation,Jones Act,https://www.govinfo.gov/link/cfr/5/2601?link-type=pdf&sectionnum=204&year=mostrecent,service-ll-uscode-uscode1958-00904-uscode1958-009046024-uscode1958-009046024.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/1NR1Y25SNIAZLppuuzV2yQ/iGngGH5lRAKamwSj9F8Wy26_jlJA2eFLJ8x_8pNSIGUoi3gs13pwrMyxPeMuNSi9UIGtiHz7dSyrACULGlJfgUHFg1FVVqaSI7KMDrDTS_FwGoIj1lAOc_r4PdzNBn4gx6EwUQb1h6nc5B_rDzChZkdkwO-AgSmkLYDUTmOCNUlVUXuX8XerKWOF1kqF-hK2g1BCsudWStnLbPwbPALmvx_2ySmV5k3wRdm3LiZJGURdHTbOfSwLPHQz7Q1sp-Ca/SOGDNFILQ1HI_T-YjmD1LMnyb-C-5DoVeQX8uzl4zZo),1/1/06,6/5/20,"Department of Homeland Security - Coast Guard,Department of Homeland Security - Customs and Border Protection,Department of Transportation - Maritime Administration,Federal Maritime Commission,Department of Justice",No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,"This act mandates that goods transported between US ports be carried on US owned ships operated by US personnel. It aims to protect American jobs and improve maritime security. It is triggered by events occurring during maritime transport, and involves the Federal Maritime Commission heavily.",,Regulations on Interstate or Foreign Commerce
33 U.S.C. § 2503,National Emergencies Act,"Emergency Authorities Under the National Emergencies Act,",,Legislation,National Emergencies Act,https://www.govinfo.gov/content/pkg/COMPS-10385/pdf/COMPS-10385.pdf,COMPS-10385.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/IzAAnbQKmpUDP_H_iKiUuw/yHHBXYy2IPbGzSCexyaWT0R8CieUkP2sMHRhRMCZQMLmz08DoaOUYB5irNlB8tgF2leLPUGnRllzPMs3B6E5gA5d0ACBkcC_w1VveSooMnpEtJyKdqKcapjTfW9nWRyg2me2opCpWJsOtmlyahExudgyK1Y1-YDdUJkvDx2rZRQ/Yl2k4XTrD9wA_7YkSVARmFYo8JNrwsNwAKqd84FNsdw),12/27/21,9/14/76,Environmental Protection Agency,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism,Presidential Major Disaster Declaration",N/A,Domestic,Yes - Subject to Posse Comitatus,,,,,,,,No,"During a war or declared national emergency, public vessels can dump potentially infectious medical waste into the ocean.",,
,,,,,,,,,,,,,,,,,,,,,,,,,
",,Waiver","Quarantine""",,,,,,,,,,,,,,,,,,,,,,,,
40 C.F.R. Part 300,NATIONAL OIL AND HAZARDOUS SUBSTANCES POL LUTION CONTINGENCY PLAN ,FEMA DOLR,4,Regulation,40 CFR Part 300,https://semspub.epa.gov/work/11/175645.pdf,CFR-2011-title23-vol1-sec658-17 (1).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/R2glnkf1oF7RF9B8MNierg/0RCWlwR-iv81KJEVI3MOBLcXRmbinWElDu5FVqWYJHoFpySgIxbZB0mWbxrpkpv82jqoax9pW3kIrz9v1-ZbSM0Ug339hyxcfs3QeXVn-p5ic9XxVEKWbpLIPqYFKzT02ec_BGpaUQ24tJvGuAwJihOw8ZG7cjHuSqo-y_g28pYfqPNdYrLvQ--pKGvv3D3I/dHTOvi4D1WVeWvdC6iWXt2rZILEOMgMIvpeNwVEPhXs),6/13/19,7/16/82,"Environmental Protection Agency,Department of Homeland Security - Coast Guard,Federal Emergency Management Agency,Department of Transportation",No triggering event - Capacity Building,N/A,Domestic,No,Exclude,,,,,,,No,The NCP is the federal government's blueprint for responding to both oil spills and hazardous substance releases.,,
",,",,,,,,,,,,,,,,,,,,,,,,,,,
 H.R. 4367,DHS Appropriations Act,FEMA DOLR,3,Legislation,DHS Appropriations Act,https://www.congress.gov/116/bills/hjres31/BILLS-116hjres31enr.pdf,BILLS-116hjres31enr.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ButVzLsX8oyiLSKs9pqH5w/8uVaulgn8glumR-mGYfEfWTjlT8mqhNeZqGo-fVL2i96gmOS7JHc2W_B2cO5cFNrRiW5t_XY8W3aUqt0A2qE2ZnmjnWW7ZAAprhUsBdmarzLjPR4_LvU13gRii8WNxyc1no-nrY7wzniZrkb5YLUrsMtTsY2YnU2Ryz07yTpKac/11ttKgEANmS9wg8S_i23hKntiRDnT8NpVOsaDmGcYJo),,1/3/19,"Federal Emergency Management Agency,Department of Homeland Security - Coast Guard,Department of Homeland Security - Cybersecurity & Infrastructure Security Agency,Department of Homeland Security - Customs and Border Protection,Department of Homeland Security - Transportation Security Administration","Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building","Outbreaks and pandemics can initialize the need for funding allocated through this act to assist with personnel, supplies, etc.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
",Domestic,No,Exclude,,,,,,,No,This act allocates funding to DHS. Other agencies involved include US customs and boarder protection", FEMA, the Coast Guard, TSA, and CISA. It authorizes funding to improve emergency, threat, and disaster response.,,,,,,,,,,,,,,,,,,,
